session,duration_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vw4.parquet,60,gyro_only,7895.9,127.65661735855019,17.039863613730464,30.96091113441628
S-Vw4.parquet,60,zupt_v1,7895.9,635.3706842752784,2.4555555555555553,30.96091113441628
S-Vw4.parquet,60,gyro_only,10099.5,1224.6066466826933,7.022222222222222,85.06069984625515
S-Vw4.parquet,60,zupt_v1,10099.5,1425.8676820152143,7.022222222222222,85.06069984625515
S-Vw4.parquet,60,gyro_only,7073.8,1618.2653625453343,7.122222222222222,91.20110660492259
S-Vw4.parquet,60,zupt_v1,7073.8,1625.9220269487548,7.122222222222222,91.20110660492259
S-Vw4.parquet,60,gyro_only,6535.8,559.994277913359,5.779554150173825,10.75732827786777
S-Vw4.parquet,60,zupt_v1,6535.8,1460.8611904726938,8.344444444444443,10.75732827786777
S-Vw4.parquet,60,gyro_only,4304.0,811.3287718386854,13.020137037638206,4.7857360581979265
S-Vw4.parquet,60,zupt_v1,4304.0,1572.1896357726089,6.421662840633662,4.7857360581979265
S-Vw4.parquet,120,gyro_only,5716.0,3701.754096211301,45.23259996910413,100.89446400156417
S-Vw4.parquet,120,zupt_v1,5716.0,3191.7942262745387,7.3,100.89446400156417
S-Vw4.parquet,120,gyro_only,1557.8,1780.0240724224136,6.582667189857285,9.131393328635227
S-Vw4.parquet,120,zupt_v1,1557.8,1965.432835240258,1.2876428718878614,9.131393328635227
S-Vw4.parquet,120,gyro_only,6097.3,4650.639541240768,83.65856477653193,105.931353799779
S-Vw4.parquet,120,zupt_v1,6097.3,3280.865927441888,7.48101760456494,105.931353799779
S-Vw4.parquet,120,gyro_only,8135.5,3335.7552443325635,39.059298441574,93.55247568369657
S-Vw4.parquet,120,zupt_v1,8135.5,2187.5748126720805,1.8662010991231792,93.55247568369657
S-Vw4.parquet,120,gyro_only,7249.4,3175.443833597461,6.8,40.64741946810096
S-Vw4.parquet,120,zupt_v1,7249.4,3235.527231260208,6.8,40.64741946810096
S-Vw4.parquet,120,gyro_only,10189.5,2366.7722920391707,2.0297738136712002,64.9401388118857
S-Vw4.parquet,120,zupt_v1,10189.5,2529.7394155355405,5.686111111111111,64.9401388118857
S-Vw4.parquet,120,gyro_only,8292.5,1801.3390501653623,39.278339175170984,17.1466571808798
S-Vw4.parquet,120,zupt_v1,8292.5,1149.7875714030301,1.561460730648339,17.1466571808798
S-Vw4.parquet,120,gyro_only,2603.3,1845.17295512912,6.144444444444445,25.893961227228317
S-Vw4.parquet,120,zupt_v1,2603.3,2047.792986684576,6.144444444444445,25.893961227228317
S-Vw4.parquet,300,gyro_only,6747.4,5909.908915160362,6.306360365390964,161.37967901366648
S-Vw4.parquet,300,zupt_v1,6747.4,7329.586001152278,7.027777777777778,161.37967901366648
S-Vw4.parquet,300,gyro_only,10882.9,7338.913526147056,33.99448690024475,150.41374480016177
S-Vw4.parquet,300,zupt_v1,10882.9,576.9961622457589,2.661111111111111,150.41374480016177
S-Vw4.parquet,300,gyro_only,5604.7,18106.591966494212,164.63877882906954,177.67958631322335
S-Vw4.parquet,300,zupt_v1,5604.7,7941.116773864719,5.608333333333333,177.67958631322335
S-Vw4.parquet,300,gyro_only,2046.5,8087.67771351382,50.1234027862914,176.95288766029887
S-Vw4.parquet,300,zupt_v1,2046.5,3334.681608156931,5.169444444444444,176.95288766029887
S-Vw4.parquet,300,gyro_only,7199.5,7060.543478335864,5.014489766026333,167.4734805721
S-Vw4.parquet,300,zupt_v1,7199.5,6382.96300509204,5.014489766026333,167.4734805721
S-Vw4.parquet,300,gyro_only,2374.2,5125.993040426793,2.5751253506144907,110.48020349753187
S-Vw4.parquet,300,zupt_v1,2374.2,5187.147017729008,3.8,110.48020349753187
S-Vw4.parquet,300,gyro_only,10311.3,3451.439589873722,0.919198765002174,98.43407165817884
S-Vw4.parquet,300,zupt_v1,10311.3,3250.7845944330747,1.8055555555555556,98.43407165817884
S-Vw4.parquet,300,gyro_only,7571.0,5891.882010832138,74.77347200535802,41.76278537682714
S-Vw4.parquet,300,zupt_v1,7571.0,3353.8365535381076,4.734251571925312,41.76278537682714
S-Vtb5.parquet,30,gyro_only,1599.4,621.9825168579357,5.525,6.964030988581754
S-Vtb5.parquet,30,zupt_v1,1599.4,710.9091653004325,5.525,6.964030988581754
S-Vtb5.parquet,30,gyro_only,5302.7,409.64749379751913,11.24847923624099,61.82564315370507
S-Vtb5.parquet,30,zupt_v1,5302.7,710.4523689178498,4.565691764625018,61.82564315370507
S-Vtb5.parquet,30,gyro_only,4401.3,463.0734585808574,0.20483168485030845,11.862230979881502
S-Vtb5.parquet,30,zupt_v1,4401.3,669.691299004902,6.466666666666667,11.862230979881502
S-Vtb5.parquet,30,gyro_only,5045.1,552.9966309292099,5.163132869661599,4.869570066166489
S-Vtb5.parquet,30,zupt_v1,5045.1,708.7519442015943,6.666666666666666,4.869570066166489
S-Vtb5.parquet,30,gyro_only,1159.7,309.4695425427748,2.085453757348461,50.295361114616554
S-Vtb5.parquet,30,zupt_v1,1159.7,356.81782984578837,2.6055555555555556,50.295361114616554
S-Vtb5.parquet,30,gyro_only,5347.3,404.9630329049018,1.0262198175268544,30.639819050674276
S-Vtb5.parquet,30,zupt_v1,5347.3,617.3069809741231,6.597222222222222,30.639819050674276
S-Vtb5.parquet,30,gyro_only,2408.1,54.39973881510954,3.065868018743319,40.65037662047115
S-Vtb5.parquet,30,zupt_v1,2408.1,163.19337087838193,3.124632777938359,40.65037662047115
S-Vtb5.parquet,30,gyro_only,998.0,390.7381196264314,0.6118939990166097,28.250217003655166
S-Vtb5.parquet,30,zupt_v1,998.0,470.33395093136704,3.9166666666666665,28.250217003655166
S-Vtb5.parquet,60,gyro_only,1289.9,303.7953275767212,15.04567873875947,47.460956622127355
S-Vtb5.parquet,60,zupt_v1,1289.9,782.5091727430448,5.241666666666667,47.460956622127355
S-Vtb5.parquet,60,gyro_only,2243.3,441.9237294015808,4.314954101170969,105.18519721421598
S-Vtb5.parquet,60,zupt_v1,2243.3,448.8164099259572,2.7222222222222223,105.18519721421598
S-Vtb5.parquet,60,gyro_only,825.5,128.7545733255807,12.856861538617924,20.147326539936756
S-Vtb5.parquet,60,zupt_v1,825.5,582.5937811359146,1.2194444444444443,20.147326539936756
S-Vtb5.parquet,60,gyro_only,4537.9,914.9265699862232,2.5617133609275253,34.74751641832657
S-Vtb5.parquet,60,zupt_v1,4537.9,1375.351342816105,7.611111111111111,34.74751641832657
S-Vtb5.parquet,60,gyro_only,2117.0,346.676031103438,18.254909238520742,45.61567643674647
S-Vtb5.parquet,60,zupt_v1,2117.0,457.4105959289778,3.452019472330405,45.61567643674647
S-Vtb5.parquet,60,gyro_only,2859.1,1200.8525578949843,1.86465342173282,22.75748342917231
S-Vtb5.parquet,60,zupt_v1,2859.1,1356.7460209776846,6.933333333333334,22.75748342917231
S-Vtb5.parquet,60,gyro_only,3278.3,1348.2859800060169,4.79433047337104,158.8590504511469
S-Vtb5.parquet,60,zupt_v1,3278.3,1449.547746159971,7.138888888888888,158.8590504511469
S-Vtb5.parquet,60,gyro_only,4993.9,1136.7574777178893,1.0224880324983259,16.947193134491158
S-Vtb5.parquet,60,zupt_v1,4993.9,1599.703603315313,7.6211893649977815,16.947193134491158
S-Vtb5.parquet,120,gyro_only,2358.4,793.348862505064,9.362057668858373,39.250375809377886
S-Vtb5.parquet,120,zupt_v1,2358.4,1190.75633933007,4.583333333333333,39.250375809377886
S-Vtb5.parquet,120,gyro_only,915.4,799.8927076771377,8.912243227061493,48.89155444675271
S-Vtb5.parquet,120,zupt_v1,915.4,1412.91937602092,4.057364955984283,48.89155444675271
S-Vtb5.parquet,120,gyro_only,2779.9,1109.1947331922638,1.5242318242642954,36.83577108015501
S-Vtb5.parquet,120,zupt_v1,2779.9,1664.0775966103686,5.969444444444444,36.83577108015501
S-Vtb5.parquet,120,gyro_only,4155.7,2400.9900630668667,4.79541914617697,68.4904227770146
S-Vtb5.parquet,120,zupt_v1,4155.7,3162.536705745874,6.594444444444444,68.4904227770146
S-Vtb5.parquet,120,gyro_only,1131.0,1843.0716382518087,27.65579995941533,24.61577857840018
S-Vtb5.parquet,120,zupt_v1,1131.0,878.0374959000419,1.3277777777777777,24.61577857840018
S-Vtb5.parquet,120,gyro_only,5221.6,2131.1695142089675,13.628588677289603,61.17552241772319
S-Vtb5.parquet,120,zupt_v1,5221.6,2967.8630683315328,7.2,61.17552241772319
S-Vtb5.parquet,120,gyro_only,2542.6,1133.7970092522485,16.372333269186047,40.91385234699351
S-Vtb5.parquet,120,zupt_v1,2542.6,780.1875579630844,2.5624230588097987,40.91385234699351
S-Vtb5.parquet,120,gyro_only,5504.1,2089.868364601054,1.017023716296566,22.80019988657915
S-Vtb5.parquet,120,zupt_v1,5504.1,2898.60766205154,6.772222222222222,22.80019988657915
S-Vtb5.parquet,300,gyro_only,2882.9,4596.257044499291,21.171063627956695,91.54321747812702
S-Vtb5.parquet,300,zupt_v1,2882.9,7810.387032800524,7.844444444444444,91.54321747812702
S-Vtb5.parquet,300,gyro_only,1595.9,3104.050971985438,8.542890093270277,93.40662902446235
S-Vtb5.parquet,300,zupt_v1,1595.9,3871.044328549962,4.275,93.40662902446235
S-Vtb5.parquet,300,gyro_only,4667.9,3582.059482069656,0.2805698812565032,10.703179143354475
S-Vtb5.parquet,300,zupt_v1,4667.9,5158.44056108644,5.219444444444444,10.703179143354475
S-Vtb5.parquet,300,gyro_only,2533.9,2572.714206663274,37.67358964306911,8.703594529174921
S-Vtb5.parquet,300,zupt_v1,2533.9,1930.0177918998559,3.5666666666666664,8.703594529174921
S-Vtb5.parquet,300,gyro_only,2208.1,1939.5064781637307,19.367035832260882,13.276824153561904
S-Vtb5.parquet,300,zupt_v1,2208.1,3071.739440841722,2.970340170321772,13.276824153561904
S-Vtb5.parquet,300,gyro_only,677.6,2159.9769178738484,15.357019356208117,14.896392475926717
S-Vtb5.parquet,300,zupt_v1,677.6,3460.0216597602957,2.638888888888889,14.896392475926717
S-Vtb5.parquet,300,gyro_only,4035.9,5120.99307775917,5.984684944113262,4.960528890006202
S-Vtb5.parquet,300,zupt_v1,4035.9,7353.892449414853,6.302065618614701,4.960528890006202
S-Vtb5.parquet,300,gyro_only,1178.0,3732.520963823481,40.502410152730675,7.4608422560067424
S-Vtb5.parquet,300,zupt_v1,1178.0,3238.151459974033,4.016666666666667,7.4608422560067424
S-Vta1a.parquet,30,gyro_only,1558.2,268.324279222824,3.1047988661372417,27.881717707857774
S-Vta1a.parquet,30,zupt_v1,1558.2,510.7689514304357,4.763888888888888,27.881717707857774
