session,duration_s,actual_dur_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vtb5.parquet,300,306.0,gyro_only,845.3,2489.938713769421,18.97807507384828,18.61405296117576
S-Vtb5.parquet,300,306.0,zupt_v1,845.3,3261.6383356441456,3.3305555555555557,18.61405296117576
S-Vta1a.parquet,30,30.0,gyro_only,1677.0,294.07191587259996,1.5624554030538622,6.63746465850204
S-Vta1a.parquet,30,30.0,zupt_v1,1677.0,420.52548806772546,3.6623313705139964,6.63746465850204
S-Vta1a.parquet,30,30.0,gyro_only,596.0,310.600985363506,2.1459605616292428,22.767375222345095
S-Vta1a.parquet,30,30.0,zupt_v1,596.0,536.5886048481398,3.9972222222222222,22.767375222345095
S-Vta1a.parquet,30,30.0,gyro_only,853.0,35.79582257473819,21.29527911074698,7.8987737429500555
S-Vta1a.parquet,30,30.0,zupt_v1,853.0,421.73701114239884,6.788888888888889,7.8987737429500555
S-Vta1a.parquet,30,30.0,gyro_only,750.0,319.83738636808323,7.265464048503245,4.855572326068113
S-Vta1a.parquet,30,30.0,zupt_v1,750.0,609.028244180202,5.05,4.855572326068113
S-Vta1a.parquet,30,30.0,gyro_only,1069.0,202.91079200837035,11.406259336854765,37.36589830872106
S-Vta1a.parquet,30,30.0,zupt_v1,1069.0,653.9905181069953,4.3667304241190505,37.36589830872106
S-Vta1a.parquet,30,30.1,gyro_only,402.0,290.63613946689344,0.22242861408980907,5.572851215519677
S-Vta1a.parquet,30,30.1,zupt_v1,402.0,546.5623356667754,5.656009053330937,5.572851215519677
S-Vta1a.parquet,30,30.0,gyro_only,940.0,394.5900572663281,1.4760997106456832,15.113365714475293
S-Vta1a.parquet,30,30.0,zupt_v1,940.0,509.9759235695455,4.482914141031637,15.113365714475293
S-Vta1a.parquet,30,30.0,gyro_only,2148.0,417.50682960961853,2.6667649623919263,17.57569353490308
S-Vta1a.parquet,30,30.0,zupt_v1,2148.0,427.2511548510675,3.9166666666666665,17.57569353490308
S-Vta1a.parquet,60,60.0,gyro_only,712.0,718.5953409756534,23.490057278458934,35.12903935816246
S-Vta1a.parquet,60,60.0,zupt_v1,712.0,1226.3051376785245,5.230555555555555,35.12903935816246
S-Vta1a.parquet,60,60.0,gyro_only,1641.0,825.5878962498549,0.995859168704015,61.69618377416444
S-Vta1a.parquet,60,60.0,zupt_v1,1641.0,912.1874512990396,3.9972222222222222,61.69618377416444
S-Vta1a.parquet,60,60.0,gyro_only,1361.0,815.4325517930215,4.01262391367023,68.51627327581761
S-Vta1a.parquet,60,60.0,zupt_v1,1361.0,1047.8107029004223,1.2070293252977007,68.51627327581761
S-Vta1a.parquet,60,59.99,gyro_only,945.0,813.9343881973565,0.04050123011339091,58.87493600767493
