session,duration_s,actual_dur_s,window_idx,s_gnss,e_gnss,dist_travelled_m,pos_err_gyro,pos_err_zupt,pos_err_hybrid,pos_err_ekf,vel_err_gyro,vel_err_zupt,vel_err_ekf,head_err_gyro,head_err_ekf,drift_pct_gyro,drift_pct_zupt,drift_pct_hybrid,drift_pct_ekf
S-Vw4.parquet,60,63.0,2,49600,50230,1981.2426984425763,1537.9710521135316,1922.1125934652005,1557.1524777211432,1975.2876161251086,60.42319656835648,8.527777777777777,8.439067657835597,66.66659198136927,35.648536773200256,77.62658523978443,97.01550420734134,78.59473647247741,99.69942691412066
S-Vw4.parquet,60,63.0,3,59049,59679,1865.8557593063538,997.1628240311807,1766.6379800113243,1360.7517800588962,1852.03257132973,60.13673708639518,8.133333333333333,8.08878923605668,32.23585127946666,19.17145098531341,53.442653273578,94.68245180260266,72.92909825809718,99.25915023668482
S-Vw4.parquet,60,62.9,4,53200,53829,1821.4105997666672,155.08198180278498,1785.0706072079004,1211.82628686093,1817.908397521339,50.72920083275367,8.519444444444444,8.46125332877323,28.79971555507376,24.05714609115138,8.514388893017962,98.0048434678363,66.53229573914699,99.80772033248424
S-Vw4.parquet,60,63.0,5,66069,66699,1703.2063280198465,1502.483219014846,1684.641490687205,1025.6655297912382,1700.7582776316021,1.4131292145208079,6.358333333333333,6.321140019789738,73.24982769888427,99.46801881115627,88.21498571823874,98.9100065548591,60.21968759261718,99.85626812512548
S-Vw4.parquet,60,63.0,6,17559,18189,1010.4155789499239,911.8514351294172,995.4831259404361,390.45470107892214,1024.8350944708154,2.7055610880349747,2.7055610880349747,4.643152211746649,55.03650544328494,65.92574356544421,90.2451876362655,98.52214738959128,38.64298108751479,101.42708760843504
S-Vw4.parquet,60,63.1,7,69219,69850,1402.1656901707186,661.1139827321812,1402.0850714142184,418.30735851040976,1402.0568970288148,3.157917331945863,6.175,6.146281403241889,26.171495968957686,26.979019532542118,47.149490774637925,99.99425041155511,29.8329478065805,99.99224106375827
S-Vw4.parquet,120,126.0,0,28809,30069,2966.5526703290943,1667.6419707225812,2944.0889613401164,1351.3795632490749,2964.742692856424,24.07248761694015,5.9395647463226195,5.432871816810796,34.93108467209663,70.99092018774981,56.21481079375481,99.24276722899089,45.553870550330046,99.93898717893084
S-Vw4.parquet,120,127.0,1,111789,113059,193.9700221371563,393.7327959107724,171.54431384125635,1035.0622034073217,193.6566094640301,14.792057107059552,3.0527777777777776,3.0278906274789787,119.25988736329157,142.2805103932061,202.98641592790236,88.43857001777177,533.6196758669382,99.83842210787368
S-Vw4.parquet,120,125.9,2,53560,54819,3785.7361050649038,5678.542902948569,3729.3152561471816,3367.76370689927,3776.720528423413,98.01086862453914,7.708333333333333,7.6372649610347585,158.7808048778293,163.62495504286312,149.99838196199929,98.50964654292102,88.95928330539384,99.76185406506731
S-Vw4.parquet,120,126.1,3,40689,41950,2299.3096120410037,1925.828164445019,2265.28596723607,1314.4094385126511,2324.575940185992,4.0777777777777775,4.0777777777777775,0.6299399000725137,131.1391829292935,98.76766822427781,83.7568004917589,98.52026692591728,57.165395718321875,101.09886585141356
S-Vw4.parquet,120,127.1,4,13409,14680,982.7590689101136,2553.0542318079933,930.7409739275769,1230.8798652367886,981.6043989332568,30.984133898041538,5.8805555555555555,5.823518538250904,104.72476780041183,28.91374316044125,259.7843472092654,94.70693310007049,125.24736776042604,99.88250731909935
S-Vw4.parquet,120,126.0,5,21699,22959,1745.6346474443937,519.6041627046968,1628.5429882498418,778.5563055717583,1730.1290115617944,36.11972890689145,3.411925935210658,3.074815016054396,36.28619205140427,33.40989850840476,29.76591713881232,93.29231581385177,44.60018633976838,99.11174793045615
S-Vw4.parquet,120,126.0,6,64989,66249,3373.046550114933,956.5736472407176,3364.454745929615,1728.657874827037,3375.0826439227585,14.405589839684565,8.055555555555555,8.019307558845538,32.69733769276422,19.72984835349291,28.35933726464947,99.74528059255438,51.24915559698204,100.06036364389207
S-Vw4.parquet,120,126.0,7,33219,34479,1861.5898365188928,1482.5031071228982,1811.3404787303577,1402.930283725507,1848.499254574065,2.593804265425839,2.084382658456356,1.35928060985349,69.37950589662626,36.448728939585905,79.63639884793993,97.3007288285104,75.3619436571988,99.29680632714955
S-Vw4.parquet,300,305.1,0,88439,91490,202.76404750605207,4068.8148891619862,119.01586067386286,1854.1543654183824,210.01372693788454,23.189651337889398,3.0288591313571978,2.2350311116067125,117.67174336043479,91.07082936441755,2006.6747232595762,58.69672761898802,914.4394128170281,103.5754264727903
S-Vw4.parquet,300,305.9,1,48700,51759,9059.95062913931,33789.548810794666,8780.273493043043,6599.327478306652,9033.516670983594,295.93780793363493,8.533333333333333,8.475113136227533,23.235648440973506,77.36182575351364,372.9551097344628,96.91303907113193,72.84065607467426,99.70823286750927
S-Vw4.parquet,300,306.0,2,16569,19629,3085.1507765955284,2886.5857502644603,3009.4677919163382,3354.8721459401736,3042.3754499636184,4.1382157470688234,5.0472222222222225,4.58754337035431,26.104154595694126,12.205423003107196,93.56384693294682,97.54686269295705,108.74256685899428,98.6135093637429
