t,v_true,v_ml,v_ml_raw,v_ekf_pre,v_ekf_post
29683,7.783333333333333,6.146114570617676,5.189114570617676,4.602125488235828,5.346344715752502
29693,7.783333333333333,6.578434211730957,5.621434211730957,6.391852795676452,6.482133709039943
29703,7.833333333333333,5.6389825172424315,4.681982517242432,5.771182042406999,5.707180636322453
29713,7.833333333333333,4.902080041885376,3.945080041885376,4.793954901850226,4.846171342509232
29723,7.833333333333333,4.520313245773315,3.5633132457733154,4.1562496514936305,4.3300682131805495
29733,7.833333333333333,4.540516597747803,3.5835165977478027,3.6109975220558197,4.051133004150475
29743,7.833333333333333,5.2105839080810545,4.253583908081055,3.0383647040827797,4.073150605808364
29753,7.833333333333333,5.895668727874756,4.938668727874756,4.122185561529755,4.976032059611176
29763,7.833333333333333,5.7307865447998045,4.773786544799805,4.836789947891268,5.26829146570135
29773,7.833333333333333,4.64621160697937,3.68921160697937,5.085094793846399,4.874046082578719
29783,7.833333333333333,4.616162998199463,3.659162998199463,5.169907786818163,4.9026297885038845
29793,7.3,4.820266944885254,3.863266944885254,5.092329270886905,4.961127081948429
29803,7.3,4.777292472839355,3.8202924728393555,4.881802201422904,4.831380129030725
29813,7.3,4.098052961349487,3.1410529613494873,4.514455861167534,4.313637848395128
29823,7.3,5.980434162139892,5.023434162139893,4.270312570551093,5.095491313143021
29833,7.3,7.000534755706787,6.043534755706787,5.2613373353722235,6.102359082543108
29843,7.3,6.372745258331299,5.415745258331299,6.4042634993494145,6.389054585188744
29853,7.3,3.8893129653930663,2.9323129653930664,6.691848977426711,5.337283247505593
29863,7.3,4.441926462173462,3.484926462173462,5.503291693524775,4.990018784496597
29873,7.3,6.6850735969543456,5.728073596954346,5.208569705135647,5.9234155982055485
29883,7.897222222222222,6.858328563690185,5.9013285636901855,6.69885422953357,6.776000793007364
45743,7.122222222222222,5.320901138305664,4.363901138305664,6.9471635950907595,6.142687711939331
45753,7.122222222222222,4.215008003234863,3.2580080032348633,6.037735235058987,5.147385311323708
45763,7.122222222222222,3.47256921005249,2.5155692100524902,4.626168731943407,4.06780256405062
45773,7.122222222222222,5.38533662033081,4.4283366203308105,3.5875129575025566,4.444001660610969
45783,7.122222222222222,5.83735774230957,4.88035774230957,4.344641829746168,5.060214778648345
45793,7.122222222222222,5.5850198097229,4.6280198097229,4.569525721639311,5.043485316645183
45803,7.122222222222222,5.783166152954101,4.826166152954102,4.906000146752853,5.309735587377182
45813,7.366666666666666,5.400927764892578,4.443927764892578,4.646774792920452,4.992620729484439
45823,7.366666666666666,5.061324340820312,4.1043243408203125,4.720604198541501,4.877819746282115
45833,7.366666666666666,5.493520957946777,4.536520957946777,4.950685840854964,5.205158083996886
45843,7.366666666666666,5.76904080581665,4.81204080581665,4.501074057998171,5.086458529882584
45853,7.366666666666666,5.2987115211486815,4.341711521148682,3.8799544183611174,4.540555098387353
45863,7.366666666666666,5.42292903137207,4.46592903137207,4.45751536658484,4.910275148572312
45873,7.366666666666666,5.1267826385498045,4.169782638549805,6.384159071491659,5.779865012847967
